"Provider";"Cost";"Account";"Link";"Data";"Description"
"openbl.org";"Free";"No";"https://www.openbl.org/lists/base_all_ftp-only.txt";"IP";"FTP Abuse"
"openbl.org";"Free";"No";"https://www.openbl.org/lists/base_all_http-only.txt";"IP";"HTTP Abuse"
"openbl.org";"Free";"No";"https://www.openbl.org/lists/base_all_mail-only.txt";"IP";"MailAbuse"
"openbl.org";"Free";"No";"https://www.openbl.org/lists/base_all_smtp-only.txt";"IP";"SMTP Abuse"
"openbl.org";"Free";"No";"https://www.openbl.org/lists/base_all_ssh-only.txt";"IP";"SSH Abuse, is sshbl.org"
"cybercrime-tracker.net";"Free";"No";"https://cybercrime-tracker.net/index.php?s=0&m=400000000";"URL";"Malware URL"
"hosts-file.net";"Free";"No";"http://hosts-file.net/rss.asp";"URL, IP";"URL / IP List"
"abuse.ch";"Free";"No";"https://palevotracker.abuse.ch/blocklists.php?download=ipblocklist";"IP";"Palevo C&C IP Blocklist"
"abuse.ch";"Free";"No";"https://palevotracker.abuse.ch/blocklists.php?download=domainblocklist";"URL";"Palevo C&C URL Blocklist"
"abuse.ch";"Free";"No";"https://feodotracker.abuse.ch/feodotracker.rss";"IP";"Feedo IP Blocklist"
"abuse.ch";"Free";"No";"https://sslbl.abuse.ch/downloads/ssl_extended.csv";"SHA1";"SSH SHA1 fingerprints"
"alienvault.com";"Free";"No";"https://reputation.alienvault.com/reputation.data";"IP";"IP Reputation"
"blutmagie.de";"Free";"No";"http://torstatus.blutmagie.de/ip_list_exit.php/Tor_ip_list_EXIT.csv";"IP";"TOR Exit nodes"
"blutmagie.de";"Free";"No";"http://torstatus.blutmagie.de/ip_list_all.php/Tor_ip_list_ALL.csv";"IP";"TOR Relays"
"sans.edu";"Free";"No";"https://isc.sans.edu/ipsascii.html";"IP";"Bad Ips (is dshield.org)"
"sans.edu";"Free";"No";"https://isc.sans.edu/api/";"IP";"Multiple Formats  (is dshield.org)"
"sans.edu";"Free";"No";"https://isc.sans.edu/feeds/suspiciousdomains_High.txt";"URL";"URL says it all  (is dshield.org)"
"sans.edu";"Free";"No";"https://isc.sans.edu/feeds/suspiciousdomains_Low.txt";"URL";"URL says it all  (is dshield.org)"
"sans.edu";"Free";"No";"https://isc.sans.edu/feeds/suspiciousdomains_Medium.txt";"URL";"URL says it all  (is dshield.org)"
"bambenekconsulting.com";"Free";"No";"http://osint.bambenekconsulting.com/feeds/c2-masterlist.txt";"IP,. URL";"C&C Info"
"bambenekconsulting.com";"Free";"No";"http://osint.bambenekconsulting.com/feeds/dga-feed.txt";"URL";"DGA"
"malware.lu";"Free";"Yes";"https://avcaesar.malware.lu/docs/api";"HASH, FILE";"Virus Scan"
"jotti.org";"Free";"No";"https://virusscan.jotti.org/en-US/search/hash";"HASH, FILE";"Virus Scan"
"metascan-online.com";"Limited";"Yes";"https://www.metascan-online.com/public-api#!/";"HASH, FILE";"Virus Scan"
"virscan.org";"Free";"No";"http://www.virscan.org/";"FILE";"SANDBOX"
"virustotal.com";"Limited";"Yes";"https://www.virustotal.com/en/documentation/public-api/";"HASH, FILE, URL, IP, …";"Virus Scan"
"bfk.de";"Free";"No";"http://www.bfk.de/bfk_dnslogger.html";"IP, URL";"PDNS"
"arbor.net";"Free";"Yes";"https://atlas.arbor.net";"?";"?"
"clean-mx.de";"Free";"No";"http://support.clean-mx.de/clean-mx/xmlviruses.php?response=alive&format=csv&fields=url,ip,domain&domain=";"IP, URL, HASH";
"github.com/Yara-Rules";"Free";"no";"https://github.com/Yara-Rules/rules";"YARA";"Repo"
"github.com/Xen0phon";"Free";"no";"https://github.com/Xen0ph0n/YaraGenerator";"YARA";"generator"
"fkie.fraunhofer.de";"Free";"Yes";"https://dgarchive.caad.fkie.fraunhofer.de";"DGA";
"twitter.com/threatbot";"Free";"Yes";"https://twitter.com/threatbot";"IP";
"iocbucket.com";"Free";"No";"https://www.iocbucket.com";"IOC";
"dnsdb.info";"Free";"Yes";"https://api.dnsdb.info/";"IP, URL";"PDNS"
"openiocdb.com";"Free";"Yes";"https://openiocdb.com/";"?";
"alienvault.com";"Free";"No";"https://github.com/AlienVault-Labs/AlienVaultLabs/";"YARA";"in Malware_Analysis"
"alienvault.com";"Free";"Yes";"https://otx.alienvault.com/browse";"URL, IP, HASH";"https://github.com/AlienVault-Labs/OTX-Python-SDK"
"danger.rulez.sk";"Free";"No";"http://danger.rulez.sk/projects/bruteforceblocker/blist.php";"IP";"SSH Brute Force"
"google.com";"Free";"No";"https://cse.google.com/cse/home?cx=011750002002865445766:pc60zx1rliu";"FREE";"Everything"
"malwaredomainlist.com";"Free";"No";"http://www.malwaredomainlist.com/mdlcsv.php";"IP, URL";
"malc0de.com";"Free";"No";"http://malc0de.com/database/";"IP, URL";
"urlvoid.com";"Free";"Yes";"http://www.urlvoid.com/api/";"URL";
"ipvoid.com";"Free";"No";"http://www.ipvoid.com/";"IP";
"scumware.org";"Free";"No";"http://www.scumware.org/search.scumware";"MD5, IP, URL";"Captcha!, same as malware.pl"
"threatlog.com";"$";"Yes";"http://api.threatlog.com/";"?";
"malwareint.com";"$";"Yes";"http://www.malwareint.com/threatintelligence.php";"?";
"vxvault.net";"Free";"No";"http://vxvault.net//ViriList.php";"MD5";
"malwaredomains.com";"Free";"No";"http://www.malwaredomains.com/?page_id=66";"URL";
"malware.com.br";"$";"Yes";"http://www.malware.com.br/open-source.shtml";;"Blocklist"
"urlquery.net";"Free";"No";"https://urlquery.net/index.php";"URL";
"robotex.org";"Free";"No";"https://www.robtex.org/";"IP, URL";
"isithacked.com";"Free";"No (Yes)";"http://www.isithacked.com/";"URL";
"malwareconfig.com";"Free";"No";"https://malwareconfig.com/yara/";"YARA";
"malwareconfig.com";"Free";"No";"https://malwareconfig.com/api/";"md5,sha256, url, ip, config";
"virusade.com";"Free";"Yes";"http://virusade.com/api";"FILE";
"urlvir.com";"Free";"No";"http://www.urlvir.com/";"IP, URL, MD5";
"malshare.com";"Free";"Yes";"http://malshare.com/pull.php";"MD5, SHA1, SHA256";
"threatstop.com";"$";"Yes";"http://www.threatstop.com/";;
"openphish.com";"Free";"No";"https://openphish.com/feed.txt";"URL";
"isitphishing.org";"Free";"Yes";"http://isitphishing.org/isitphishing-api";"URL, IP";
"t-arned.de";"Free";"No";"http://www.t-arend.de/linux/badguys.txt";"IP";"SSH Abuse"
"stopforumspam.com";"Free";"No";"http://www.stopforumspam.com/usage";"IP,Email, Username";"Forum Spam"
"spamcop.net";"Free";"No";"http://www.spamcop.net/";"IP";"DNSBL, Spammer"
"nothink.org";"Free";"No";"http://www.nothink.org/blacklist/blacklist_ssh_day.txt";"IP";"SSH Abuse"
"nothink.org";"Free";"No";"http://www.nothink.org/blacklist/blacklist_malware_irc.txt";"IP";"Malware IRC Blocklist"
"nothink.org";"Free";"No";"http://www.nothink.org/blacklist/blacklist_malware_http.txt";"IP,URL";"Malware HTTP Traffic"
"nothink.org";"Free";"No";"http://www.nothink.org/blacklist/blacklist_malware_dns.txt";"IP, URL";"MALWARE DNS Traffic"
"malwaregroup.com";"Free";"No";"http://www.malwaregroup.com/domains/malicious";"URL";
"malwaregroup.com";"Free";"No";"http://www.malwaregroup.com/ipaddresses/malicious";"IP";
"geospy.org";"Free";"No";"http://www.geopsy.org/blacklist.html";"IP";
"emergingthreads.net";"Free";"No";"http://rules.emergingthreats.net/blockrules/emerging-botcc.rules";"IP";"Same as Abuse.ch / shdowserver should be only here… creazy isn't it?"
"emergingthreads.net";"Free";"No";"http://rules.emergingthreats.net/blockrules/emerging-compromised.rules";;"Same as rulez.sk + openbl.org"
"shadowserver.org";"Free";"No (Yes)";"http://www.shadowserver.org/wiki/pmwiki.php/Services/Sandboxapi";"SSDEEP, MD5, SHA1";"Samples"
"shadowserver.org";"Free";"No";"http://bin-test.shadowserver.org/";"MD5, SHA1";"Whitelist Data"
"ciarmy.com";"Free";"No";"http://www.ciarmy.com/list/ci-badguys.txt";"IP";"IP addresses that meet two basic criteria: 1) The IP's recent Rogue Packet score factor is very poor, and 2) The InfoSec community has not yet identified the IP as malicious."
"autoshun.org";"Free";"no";"http://www.autoshun.org/files/shunlist.csv";"IP";"AutoShun is a Snort plugin that allows you to send your Snort IDS logs to a centralized server that will correlate attacks from your sensor logs with other snort sensors, honeypots, and mail filters from around the world."
"binarydefence.com";"Free";"No";"http://www.binarydefense.com/banlist.txt";"IP";"No commercial use"
"yourcmc.ru";"Free";"No";"http://vmx.yourcmc.ru/BAD_HOSTS.IP4";"IP";"SSH Abuse"
"virbl.org";"Free";"No";"http://virbl.org/download/virbl.dnsbl.bit.nl.txt";"IP";"The plan was to get reports of virusscanning mailservers, and put the IP-addresses that were reported to send viruses on a blacklist."
"uribl.com";"Free";"Yes";"http://rss.uribl.com/nic/NAUNET_REG_RIPN.xml";"URI";"NEEDS account there are more datafeeeds"
"snort.org";"Free";"No";"http://labs.snort.org/feeds/ip-filter.blf";"IP";
"abuse.ch";"Free";"No";"https://zeustracker.abuse.ch/monitor.php?browse=binaries";"URL, MD5";"Gets you the anubis report"
"iseclab.org";"Free";"No";"https://anubis.iseclab.org/";"URL, FILE";"MALWARE, There are some Cluster Features… it was down"
"ciarmy.com";"Free";"No";"https://hash.cymru.com/";"MD5, SHA1";"MALWARE"
"ciarmy.com";"Free";"No";"http://www.team-cymru.org/bogon-reference-http.html";"IP";"Bogons IP by HTTP"
"ciarmy.com";"Free";"No";"http://www.team-cymru.org/IP-ASN-mapping.html";"IP";"IP to ASN Mapping"
"totalhash.com";"Free";"No (Yes)";"https://totalhash.com/";"av dnsrr email filename hash ip mutex pdb registry url useragent";"API only on registry"
"threatattacksecurity.com";"Free";"Yes";"http://www.threattracksecurity.com/resources/sandbox-malware-analysis.aspx";"FILE";"Sandbox need Credentials"
"phishtank.com";"Free";"Yes";"http://www.phishtank.com/developer_info.php";"URL, IP";"Phishing with wonderful API"
"iseclab.org";;;"http://exposure.iseclab.org/";;"WAS DOWN"
"joewein.de";"Free";"No";"http://www.joewein.net/dl/bl/dom-bl.txt";"URL";"Phish"
"comodo.com";"Free";"No";"http://camas.comodo.com/cgi-bin/submit?file=7978bdfd59b883fb1683fb933f2564835b78b6524efec565d0d3a1fc0efde2a2";"SHA256";"Sandbox"
"comodo.com";"Free";"Yes";"https://valkyrie.comodo.com/login";"?";
"comodo.com";"Free";"No";"https://file-intelligence.comodo.com/";"FILENAME, SHA1";"File description"
"dragonresearchgroup.org";"Free";"No";"http://dragonresearchgroup.org/insight/vncprobe.txt";"IP";"VNC Probes"
"dragonresearchgroup.org";"Free";"No";"http://dragonresearchgroup.org/insight/sshpwauth.txt";"IP";"SSH Abuse"
"dragonresearchgroup.org";"Free";"No";"http://dragonresearchgroup.org/insight/http-report.txt";"IP";"HTTP scan"
"@mahesh557";"Free";"No";"https://callbackdomains.wordpress.com/feed/";"IP, URL";"Malware “Callback” wtfe?"
"bitcash.cz";"Free";"No";"http://bitcash.cz/misc/log/blacklist";"IP, URL";"Dynamic Blocklist"
"melekal.com";"Free";"No";"http://malwaredb.malekal.com/";"DATE, MD5, SHA1, SHA256,";
"cruzit.com";"Free";"No";"http://www.cruzit.com/xwbl2txt.php";"IP";"Private Blocklist?"
"nmanitu.net";"Free";"No";"http://www.dnsbl.manitu.net/download/nixspam-ip.dump.gz";"IP";"spam"
"falconcrest.eu";"Free";"No";"http://www.falconcrest.eu/IPBL.aspx";"IP";"Private Blocklist?"
"michaelbrentecklund.com";"Free";"No";"http://www.michaelbrentecklund.com/whm-cpanel-cphulk-banlist-whm-cpanel-cphulk-blacklist/";"IP";"cPanel Abuse"
"spamhaus.org";"Free";"No";"http://www.spamhaus.org/drop/drop.txt";"IP";"http://www.spamhaus.org/drop/"
"spamhaus.org";"Free";"No";"http://www.spamhaus.org/drop/edrop.txt";"IP";"http://www.spamhaus.org/drop/"
"voipbl.org";"Free";"No";"http://www.voipbl.org/update/";"IP";"VOIP Fraud"
"iblocklist.com";"Free";"No";"https://blocklist.sigmaprojects.org/";"IP";"multiple tags"
"iblocklist.com";"Free";"No (Yes)";"https://www.iblocklist.com/lists";"IP";"multiple tags"
"torproject.org";"Free";"No";"https://check.torproject.org/exit-addresses";"IP";"TOR Exit nodes"
"malwarepatrol.net";"Free";"No (yes)";"https://lists.malwarepatrol.net/cgi/getfile?receipt=f1377916320&product=8&list=smoothwall";"URL";"smoothWall Blocklist"
"berkley.edu";"Free";"Yes";"https://security.berkeley.edu/aggressive_ips/ips";"IP";"Agressive Behavior"
"torproject.org";"Free";"no";"https://atlas.torproject.org";"IP";"Tor Node"
"blutmagie.de";"Free";"no";"https://torstatus.blutmagie.de/query_export.php/Tor_query_EXPORT.csv";"IP";"Tor Node Status"
"Gpf-comics.com";"Free";"no";"https://www.gpf-comics.com/dnsbl/export.php";"IP";"Blocklist with comments, need to send some post parameter"
"maxmind.com";"Free";"no";"https://www.maxmind.com/en/proxy-detection-sample-list";"IP";"Anonymous Proxy"
"trustedsec.com";"Free";"No";"https://www.trustedsec.com/banlist.txt";"IP";"Bad Ips"
"dynamoo.com";"Free";"No";"http://blog.dynamoo.com/";"GENERAL";"Full Parse"
"malware-traffic-analysis.net";"Free";"no";"http://www.malware-traffic-analysis.net/blog-entries.html";"GENERAL";"Full Parse"
"mxlab.eu";"Free";"No";"http://blog.mxlab.eu/";"GENERAL";"Full Parse"
"spam404.com";"Free";"No";"http://www.spam404.com/domain-blacklist.html";"URL";"Spam+"
"clean-mx.com";"Free";"No";"http://lists.clean-mx.com/pipermail/phishwatch/";"IP, URL";"Phish"
"contagiodump.blogspot.com";"Free";"no";"http://contagiodump.blogspot.com/";"GENERAL";"Full Parse"
"secuboxlabs.fr";"Free";"no";"http://secuboxlabs.fr/ ";"IP,URL, MD5, SHA1";
"criticalstack.com";"Free";"Yes";"https://intel.criticalstack.com/";;
"cymon.io";"Free";"No (Yes)";"http://docs.cymon.io/";"IP, URL";
"cymon.io";"Free";"No";"https://cymon.io/dga";"URL";"Dga"
"circl.lu";"Free";"Yes";"https://www.circl.lu/services/passive-dns/";"IP, URL";"PDNS"
"mnemonic.no";"Free";"no";"http://passivedns.mnemonic.no/search/";"IP. URL";"https://github.com/chrislee35/passivedns-client"
"passicedns.cn";"Free";"Yes";"https://passivedns.cn/";"IP, URL";"https://github.com/chrislee35/passivedns-client"
"passivetotal.org";"Free";"Yes";"https://www.passivetotal.org/";"IP, URL";"https://github.com/chrislee35/passivedns-client Same as RiskIQ"
"metadata.li";"Free";"yes";"https://metadata.li/";;"who knows? Has a rest api"
"tcpiputils.com";"$";"YES";"http://www.tcpiputils.com/";"IP, URL";"PDNS +more"
"taxiidirectory.com";"Free";"YES";"https://www.taxiidirectory.com/";"STIX";"Multirepo"
"h3x.eu";"Free";"No";"http://atrack.h3x.eu/api/asprox_full_csv.php";"IP";
"h3x.eu";"Free";"No";"http://rebsnippets.blogspot.de/2015/04/asprox-botnet-chronicles.html";;"Asprox Malware Body"
"h3x.eu";"Free";"No";"http://atrack.h3x.eu/corpus";"MD5, PEHASH, IMPHASH";"Asprox Malware Body"
"threatexpert.com";"Free";"No";"http://www.threatexpert.com/reports.aspx";"FILE";"Sandbox"
"threatexpert.com";"Free";"No";"http://www.threatexpert.com/azlisting.aspx";"NAME";"Description of Malware"
"file-analyzer.net";"Free";"No (Yes)";"http://www.file-analyzer.net/reports";"FILEname, Md5";"Sandbox, same as http://www.joesecurity.org/"
"malwaremustdie.org";"Free";"No";"http://malwared.malwaremustdie.org/db/fulllist.php";"URL";"malware C&C"
"malwaremustdie.org";"Free";"No";"http://malwared.malwaremustdie.org/rss.php";"URL";"malware C&C"
"malwaremustdie.org";"Free";"No";"http://malwared.malwaremustdie.org/db/index.php?page=1";"URL";"malware C&C"
"detux.org";"Free";"No";"http://detux.org/";"FILE, dns, ip, port, md5, sha1, sha256, protocol, urls and cpu ";"Sandbox Linux"
"iplists.firehol.org";"Free";"No";"https://github.com/firehol/blocklist-ipsets";"IP";"With revisions"
"google.com";"Free";"No (Yes)";"https://www.google.com/transparencyreport/safebrowsing/diagnostic/index.html#url=";"URL";"Rep, API: https://console.developers.google.com/"
"ucsb.edu";"Free";"No";"http://sarvam.ece.ucsb.edu/";"FILE,MD5";"Sandbox"
"gatech.edu";"Free";"No";"http://ether.gtisc.gatech.edu/web_unpack/";"FILE";"Unpacker"
"microsoft.com";"Free";"No (Yes)";"https://www.microsoft.com/security/portal/submission/submit.aspx";"FILE";"Scanner"
"f-secure.com";"Free";"Yes";"https://analysis.f-secure.com/portal/login.html";"FILE";"SANDBOX"
"vicheck.ca";"Free";"No";"https://vicheck.ca/";"FILE";"SANDBOX"
"vicheck.ca";"Free";"No";"https://vicheck.ca/md5query.php";"MD5";"SANDBOX"
"drweb.com";"Free";"No";"https://online.drweb.com/";"FILE";"SandbOX"
"uploadmalware.com";"Free";"No";"http://www.uploadmalware.com/";"FILE";"SandbOX"
